classification,mean_daily_pnl,median_daily_pnl,mean_win_rate,trades
Extreme Fear,4619.4390530625005,218.377399,1.7477379815314826,10106
Extreme Greed,5161.9226438650185,418.3198625,1.5689285217894657,22685
Fear,5328.818161336508,107.89253199999999,1.6637328963669396,27248
Greed,3318.100729862654,158.214922,1.417865946877732,25679
Neutral,3438.6188179521278,167.551743,2.784319238460074,16186
